Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),RESISTANCE,FDM Indication:  Empty Stops,20,3.89,2.14
DDH00331AB,HANON AUTOMOTIVE SYSTEMS,0304ABH00881N,THAR 5DOOR (W502),DIMN - DIMENSION,Over Flow Pipe Bead Diameter,9.60,2.52,2.13
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502990N,THAR 5DOOR (W502),POSITION,LH B PILLAR TRIM LOCATOR Hole 1 - X,2836.92,10.37,2.13
DDM00805AA,MOONLIGHT AUTO PVT LTD,2601AW500240N,THAR 5DOOR (W502),PROFILE,Pedal Lateral Play,0,3.02,2.12
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701BAA01201N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,6.6,2.50,2.11
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500021N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,6.6,2.50,2.11
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500031N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,6.6,2.50,2.11
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06670N,THAR 5DOOR (W502),OUTER DIAMETER,Wheel Rim Dia,65,2.66,2.11
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),DIMN - DIMENSION,Depth of FDM opening,176.6,3.56,2.11
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),ANGLE,Phase Angle,35,2.3,2.1
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00900N,THAR 5DOOR (W502),RUNOUT,Brake Face Runout,0,2.17,2.1
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502980N,THAR 5DOOR (W502),POSITION,Trim Locator Slot- X,2816.99,3.62,2.1
DDM00096AC,MSL DRIVELINE SYSTEMS LIMITED,0501AAA05691N,THAR 5DOOR (W502),OUTER DIAMETER,Reverse Sleeve Yoke OD,39.9620,2.25,2.09
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW502940N,THAR 5DOOR (W502),POSITION,Nut 2- Z,856,6.68,2.09
DDM00805AA,MOONLIGHT AUTO PVT LTD,2601AW500230N,THAR 5DOOR (W502),INNER DIAMETER,Brake Switch Cavity,16,2.08,2.08
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AAA09401N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,152.6,2.26,2.07
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AW500241N,THAR 5DOOR (W502),DIMN - DIMENSION,Diemension,152.6,2.26,2.07
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06070N,THAR 5DOOR (W502),OUTER DIAMETER,Toner Ring Dia,40.7,2.18,2.07
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,Height adjuster effort UP,45,2.400,2.068
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2402AW500281A,THAR 5DOOR (W502),EFFORRS,Recliner lever operating force,60,2.479,2.061
DDN00085XA,NOBEL AUTOMOTIVE INDIA PVT LTD,1001BAB01251N,THAR 5DOOR (W502),OUTER DIAMETER,Diesel Filler Pipe OD,36,2.18,2.06
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301FW501680N,THAR 5DOOR (W502),EFFORRS,Armrest Sliding backward,12,2.75,2.04
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06070N,THAR 5DOOR (W502),OUTER DIAMETER,Wheel rim DIa,65,2.48,2.04
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA15040N,THAR 5DOOR (W502),INNER DIAMETER,Pressing ID RH side,76.80/76.93,2.713,2.037
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2402AW500281A,THAR 5DOOR (W502),EFFORRS,Seat back unfolding effort 60,100,2.182,2.031
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),DIMN - DIMENSION,Keyhole Center From Outer Tube Face,75.8,2.09,2.03
DDM00001AJ,MINDA CORPORATION LIMITED,2301BW500071D,THAR 5DOOR (W502),EFFORRS,Operating Efforts-Up,2.5,2.63,2.03
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,Towel bar effort,30,2.168,2.026
DDJ00038AD,JBM AUTO LIMITED,0101BW502880N,THAR 5DOOR (W502),POSITION,G11.11 WELD NUT 1- X,3800.618,1.84,2.02
DDL00022AH,LUMAX INDUSTRIES LIMITED,1702BW500071V,THAR 5DOOR (W502),DIMN - DIMENSION,DIMENSION,97.7,2.87,2.02
DDL00022AH,LUMAX INDUSTRIES LIMITED,1702BW500071V,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,97.7,2.87,2.02
DDM00001AJ,MINDA CORPORATION LIMITED,2301BW500071D,THAR 5DOOR (W502),EFFORRS,Operating Efforts- Left to Right,2.5,2.64,2.02
