Serial Number,Attribution,SAP Claim No,Commodity,Decision
S2F36853,PSC - DNR,,,RS
S2F37612,PSC - DAMAGED,,,RS
R2M32743,,,,PSC
R2H30452,,,,MTN
R2K14552,,,,MTN
S2A17779,,,,MTN
S2C43984,,,,MTN
S2C45322,,,,MTN
S2D18894,,,,MTN
S2E22913,,,,MTN
S2E24816,,,,MTN
S2E26794,,,,MTN
S2E27405,,,,MTN
S2F37791,,,,MTN
S2F43391,,,,MTN
S2F44284,,,,MTN
S2F45160,,,,MTN
S2B27847,,,,SM
S2C47701,,,,SM
S2A14889,,,,RV
S2B33504,,,,RV
S2C37899,,,,RV
S2D20747,,,,RV
S2E28329,,,,RV
S2E31232,,,,RV
S2E32847,,,,RV
R2J39205,PSC - DNR,,,RS
R2J39205,PSC - DNR,,,RS
R2K12802,,,,RS
S2D21290,,,,RS
S2D22249,,,,RS
R2J30872,,,,MTN
S2B30833,,,,MTN
S2C47102,,,,MTN
S2D15705,,,,MTN
S2F39110,,,,MTN
R2J42006,,,,RV
R2K12517,,,,RV
R2K14814,,,,RV
R2K15488,,,,RV
R2K45283,,,,RV
R2K45842,,,,RV
R2L26328,,,,RV
S2A21342,,,,RV
S2B26826,,,,RV
S2B26971,,,,RV
S2C40923,,,,RV
S2C43767,,,,RV
S2C45559,,,,RV
S2D10290,,,,RV
S2D10318,,,,RV
S2D11910,,,,RV
S2D14691,,,,RV
S2E26223,,,,RV
S2F41250,,,,RV
R2L23752,,,,MTN
R2J39352,ANALYSIS SCRAP,,,SM
R2J40897,ANALYSIS SCRAP,,,SM
R2K43309,ANALYSIS SCRAP,,,SM
R2K44459,ANALYSIS SCRAP,,,SM
R2L18199,ANALYSIS SCRAP,,,SM
R2L21790,ANALYSIS SCRAP,,,SM
R2M30372,ANALYSIS SCRAP,,,SM
S2A16925,ANALYSIS SCRAP,,,SM
S2A18430,ANALYSIS SCRAP,,,SM
S2A19781,ANALYSIS SCRAP,,,SM
