Concern Report Date,Part No,Vendor Name,Concern Description,Vehicle Model,Qty. Reported,Initial Analysis & Reason for Attributio,Reason for ICA Not Possible,ICA Details at M&M,ICA Failure,Segregation Qty,OK Qty,Rejection(BLock)Qty (344 and 350 Mvt),Scarp Qty(951 and 551 Mvt),Rework Qty,Deviation Qty,Line Loss,Yard Hold,ESQA Entry Required,Justification for ESQA Not Required,ESQA Number
2024-09-13,0103AW501500N,TRIKAYA COATINGS PVT.LTD.,PLP hole undersize obsd. Req 8.00mm Obsd 7.5mm,THAR ROXX,1,PLP hole undersize obsd. Req 8.00mm Obsd 7.5mm,,100% Part Inspection.,N,1300,1295,0,0,5,0,N,N,Y,,2014126726.0
2024-09-16,0111JAP00301N,LS Automotive India Pvt Ltd,Switch Inoperative,THAR ROXX,1,Switch Found Defective.,Defect Observed On Vehicle Level Only,Part level ICA not possible,N,0,0,1,0,0,0,N,N,Y,,2014125885.0
2024-09-18,0304CBH01150N,JAYASHREE POLYMER EXPORTS PRIVATE L,Coolant leakage .,THAR ROXX,1,Collent Leak From T Joint.,Defect Observed On Vehicle Level,,N,0,0,1,0,0,0,N,N,Y,,2014126724.0
2024-09-16,1701DW500031N,UNO MINDA LIMITED,Front LH Fog lamp Inoperative.,THAR ROXX,1,Front LH fog lamp inoperative.,Defect Observed On Vehicle Level,,N,0,0,1,0,0,0,N,N,Y,,2014126011.0
2024-09-18,0101BW502880N,JBM AUTO LIMITED,01  7/16 nut  thread not ok. TPG Go Gauge Not Passing.,THAR ROXX,1,01  7/16 nut  thread not ok. TPG Go Gauge Not Passing.,,100% Part Inspection.,N,250,249,0,0,1,0,N,N,Y,,2014126762.0
2024-09-19,2303CS203361N,UNO MINDA LIMITED,Shade variation between front roof lamp switches and bezel,THAR ROXX,1,Shade variation between front roof lamp switches and bezel,,ICA started by visually checking,N,0,0,8,0,0,0,N,N,Y,,2014125359.0
2024-09-18,0103AW501121N,VENUS INDUSTRIAL,Check arm noise,THAR ROXX,1,Greasing found not ok,,ICA Started By Visual Checking,N,700,673,978,0,0,0,N,N,Y,,2014126716.0
2024-09-17,2303CW504761N,SUN N SHADE SUNVISOR PVT LIMITED,Sunwiser Not Lock,THAR ROXX,1,Sunwiser Not Locking In Sunwiser Holder.,,ICA started by Matting With Part.,N,250,249,1,0,0,0,N,N,Y,,2014126685.0
2024-09-19,1805AW500251N,Nippon Audiotronix pvt ltd,RH side blind view camera inoperative,THAR ROXX,1,SVS Controller found defective,Defect Observed On Vehicle Level,,N,0,0,2,0,0,0,N,N,Y,,2014126780.0
2024-09-20,0702AAJ00221N,TATA TOYO RADIATOR LTD,Coolant leakage,THAR ROXX,1,Excess Flashes' On Port,,ICA started by visually checking.,N,240,238,2,0,0,0,N,N,Y,,2014126830.0
2024-09-19,1805AW500251N,Nippon Audiotronix pvt ltd,Reverse camera inoperative,THAR ROXX,1,SVS Controller found defective,Defect Observed On vehicle Level Only,,N,0,0,6,0,0,0,N,N,Y,,2014126780.0
2024-09-19,2401AW500811A,MSKH SEATING SYSTEMS INDIA (P) LTD,Driver seat torn at bottom,THAR ROXX,1,Driver seat torn at bottom,,ICA started by visually checking,N,30,29,1,0,0,0,N,N,Y,,2014126697.0
2024-09-19,0102BW500050N,MAHINDRA CIE AUTOMOTIVE LTD.,Wrinkle obsd on All Over Surface.,THAR ROXX,1,Wrinkle obsd on All Over Surface.,,100% Part Inspection.,N,192,191,0,0,1,0,N,N,Y,,2014126777.0
2024-09-20,2401AW500821A,MSKH SEATING SYSTEMS INDIA (P) LTD,CO- Driver seat stitches open,THAR ROXX,1,CO- Driver seat stitches open,,ICA started by visually checking,N,30,29,1,0,0,0,N,N,Y,,2014126822.0
2024-09-19,2401AW500821A,MSKH SEATING SYSTEMS INDIA (P) LTD,Humming noise from seat ventilation,THAR ROXX,1,Seat found defective.,Defect Observed On Vehicle Level Only,,N,0,0,1,0,0,0,N,N,Y,,2014126783.0
2024-09-19,0103AW501091N,VENUS INDUSTRIAL,Check arm noise,THAR ROXX,1,Check arm found defective,Defect Observed On Vehicle Level,,N,0,0,302,0,0,0,N,N,Y,,2014126820.0
2024-09-19,2401AW500821A,MSKH SEATING SYSTEMS INDIA (P) LTD,CO- Driver seat back rest recliner Innoperative.,THAR ROXX,1,CO- Driver seat back rest recliner Innoperative.,,ICA started by Manually checking,N,0,0,1,0,0,0,N,N,Y,,2014126804.0
2024-09-20,0102BW500030N,MAHINDRA CIE AUTOMOTIVE LTD.,Multiple Line Mark On Part.,THAR ROXX,1,Multiple Line Mark On Part.,,100% Part Inspection.,N,100,0,0,0,5,0,N,N,Y,,2014126877.0
2024-09-19,0101CW500550N,MAHINDRA CIE AUTOMOTIVE LTD.,wiper  mtg bracket 1 spot broken out of 4 .,THAR ROXX,1,wiper  mtg bracket 1 spot broken out of 4 .,,100% Part Inspection.,N,60,0,0,0,0,0,N,N,Y,,2014126811.0
2024-09-22,2303BW502751N,Varroc Polymers Ltd,Buljing On Trim Pad,THAR ROXX,1,Poor Apperance,,ICA started by visually checking,N,90,89,1,0,0,0,N,N,Y,,2014126817.0
2024-09-20,0101BW503800N,P.M. ELECTRO AUTO PVT. LTD.,Bracket fitment not possible,THAR ROXX,1,Bolt Getting Half Torque. Thread Found Not Ok,,ICA started by Manually checking,N,650,645,0,0,5,0,N,N,Y,,2014126698.0
2024-09-21,2402AW500251A,MSKH SEATING SYSTEMS INDIA (P) LTD,Wrinkles on seat,THAR ROXX,1,Wrinkles on seat,,ICA started by visually checking,N,20,19,1,0,0,0,N,N,Y,,2014126852.0
2024-09-23,2302AW501810J,PLASTIC OMNIUM AUTO EXTERIORS (INDI,Paint rundown on FRT grill across multiple windows,THAR ROXX,1,Paint rundown on FRT grill across multiple windows,,ICA started by visual checking.,N,30,29,1,0,0,0,N,N,Y,,2014124755.0
2024-09-21,0111JAP00301N,LS Automotive India Pvt Ltd,Switch inoperative,THAR ROXX,1,Switch found sticky.,Defect Observed On Vehicle Level,,N,0,0,1,0,0,0,N,N,Y,,2014126799.0
2024-09-21,0102AW500990N,MAHINDRA CIE AUTOMOTIVE LTD.,Stay Rod  Mtg  Gril Panel Hole Mismatch,THAR ROXX,1,Stay Rod  Mtg  Gril Panel Hole Mismatch,,100% Part Inspection.,N,45,44,0,0,1,0,N,N,Y,,2014126912.0
2024-09-20,0102FW500030N,JBM AUTO LIMITED,Headlamp mtg M6  nut thread not ok Tpg Go gauge not Passing.,THAR ROXX,1,Headlamp mtg M6  nut thread not ok Tpg Go gauge not Passing.,,100% Part Inspection.,N,120,118,0,0,2,0,N,N,Y,,2014126827.0
2024-09-23,0401BDG02280N,SHARDA MOTOR INDUSTRIES LTD,Lower link ASSY fitment not possible,THAR ROXX,1,Sticker orientation wrong,,ICA started by visual checking.,N,450,449,0,0,1,0,N,N,Y,,2014126875.0
2024-09-23,2302AW501810T,PLASTIC OMNIUM AUTO EXTERIORS (INDI,Sticker missing - AIR Conditioning System.,THAR ROXX,1,Sticker missing - AIR Conditioning System,,ICA Started By Checking Visually.,N,40,39,1,0,0,0,N,N,Y,,2014126889.0
2024-09-21,2402AW500281A,MSKH SEATING SYSTEMS INDIA (P) LTD,Wrinkles on seat,THAR ROXX,1,Wrinkles on seat,,ICA started by visually checking,N,30,28,2,0,0,0,N,N,Y,,2014126311.0
2024-09-23,1701AW500091N,LUMAX INDUSTRIES LIMITED,DRL Shade variation,THAR ROXX,1,DRL Shade variation,Defect Observed On vehicle level,,N,0,0,1,0,0,0,N,N,Y,,2014126890.0
2024-09-20,0101BW502880N,JBM AUTO LIMITED,One 7/16 nut  thread not ok. TPG Go Gauge Not Passing.,THAR ROXX,1,One  7/16 nut  thread not ok. TPG Go Gauge Not Passing.,,100% Part Inspection.,N,255,249,1,0,1,0,N,N,Y,,2014126762.0
2024-09-24,0101BW502560N,SANJYOT METAL INDUSTRIES,M6 Nut Thread Not Ok. TPG M6 GO Not Passing.,THAR ROXX,1,M6 Nut Thread Not Ok. TPG M6 GO Not Passing.,,100% Part Inspection.,N,90,89,0,0,1,0,N,N,Y,,2014126904.0
2024-09-23,0122BW500110N,SLIDEWELL MEILLEUR TECH PRIVATE LTD,Spare Wheel Cover fitment Not Possible.,THAR ROXX,1,Bracket Diameter Not Ok 50.00 -40 Not Ok Part Dim 50.40mm,,ICA started by Checking by Measurements,N,200,198,2,0,0,0,N,N,Y,,2014126873.0
2024-09-18,0101EW501180N,P.M. ELECTRO AUTO PVT. LTD.,M8 Nut  NOGO TPG Gauge pass,THAR ROXX,1,M8 Nut  NOGO TPG Gauge pass,,100% Part Inpection.,N,450,449,0,0,1,0,N,N,Y,,2014126920.0
2024-09-21,0101EW502980N,SANJYOT METAL INDUSTRIES,"One 7/16 Nut  thread not ok, TPG GO Gauge not pass.",THAR ROXX,1,"One 7/16 Nut  thread not ok, TPG GO Gauge not pass.",,100% Part Inspection.,N,110,109,0,0,1,0,N,N,Y,,2014126940.0
2024-09-20,0102BW500030N,MAHINDRA CIE AUTOMOTIVE LTD.,Dent mark obsd on part,THAR ROXX,1,Dent mark obsd on part,,100% Part Inspection.,N,90,88,0,0,2,0,N,N,Y,,2014126887.0
2024-09-25,0005BW500081N,INNOVA RUBBERS PVT LTD,Frequency Found Less (50HZ),THAR ROXX,1,Part  found Defective,Defect Observed On Vehicle Level,,N,0,0,2,0,0,0,N,N,Y,,2014126893.0
2024-09-23,0107BW500481N,ALP NISHIKAWA,White mark on Seal-Sealer ozz out,THAR ROXX,1,White mark on Seal-Sealer ozz out,,ICA started by visually checking,N,180,178,2,0,0,0,N,N,Y,,2014126492.0
2024-09-20,0103CW500140N,ALF ENGINEERING PVT LTD,M10  nut thread not ok. TPG Go Gauge Not Passing.,THAR ROXX,1,M10  nut thread not ok. TPG Go Gauge Not Passing.,,100% Part Inspection.,N,120,119,0,0,1,0,N,N,Y,,2014126897.0
2024-09-25,0502AUA00400N,AUTO MECH,Oil leakage from front Axle CV joint,THAR ROXX,1,Oil leakage from front Axle CV joint,Defect Observed On Vehicle Level,,N,0,0,1,0,0,0,N,N,Y,,2014126957.0
2024-09-27,2402AW500281A,MSKH SEATING SYSTEMS INDIA (P) LTD,40% rear seat recliner not locking,THAR ROXX,1,Seat found defective.,,ICA started by manually.,N,40,35,6,0,0,0,N,N,Y,,2014126551.0
2024-09-25,0005BW500121N,INNOVA RUBBERS PVT LTD,Frequency Found Less (39-40Hz),THAR ROXX,1,Part  found Defective,,Part Level ICA Not Possible,N,0,0,3,0,0,0,N,N,Y,,2014126951.0
2024-09-25,2302AW502080J,PLASTIC OMNIUM AUTO EXTERIORS (INDI,Paint uncover near LH head lamp,THAR ROXX,1,Paint uncover near LH head lamp,,ICA started by visual checking.,N,0,0,1,0,0,0,N,N,Y,,2014126974.0
2024-09-25,2302EW500240N,ABHIJEET TECHNO-PLAST (I) P LTD,Spare Wheel Cover Fitment Not Possible,THAR ROXX,1,Locator Champer Missing,,ICA started by visually checking.,N,150,149,1,0,0,0,N,N,Y,,2014126909.0
2024-09-27,2401AW500821A,MSKH SEATING SYSTEMS INDIA (P) LTD,Humming noise from seat ventilation,THAR ROXX,1,Seat found defective.,Defect Observed On Vehicle Level,,N,0,0,1,0,0,0,N,N,Y,,2014126783.0
2024-09-25,2303CS203361N,UNO MINDA LIMITED,Consol Roof Lamp Switch Sticky,THAR ROXX,1,Consol Roof Lamp Switch Sticky,,ICA Started By Checking Manually.,N,200,199,1,0,0,0,N,N,Y,,2014126975.0
2024-09-26,0101CW500550N,MAHINDRA CIE AUTOMOTIVE LTD.,Lh Scuttle Mtg One M6 Nut Missing Obsd.,THAR ROXX,1,Lh Scuttle Mtg One M6 Nut Missing Obsd.,,100% Part Inspection.,N,65,64,0,0,1,0,N,N,Y,,2014126896.0
2024-09-26,0101EW503950N,MAHINDRA CIE AUTOMOTIVE LTD.,M6 Nut Thread Not Ok. TPG M6 GO Gauge Not Passing.,THAR ROXX,1,M6 Nut Thread Not Ok. TPG M6 GO Gauge Not Passing.,,100% Part Inspection.,N,40,39,0,0,1,0,N,N,Y,,2014126965.0
2024-09-26,0103AW502880N,TECHNICO INDUSTRIES LIMITED,Hole and Slot Position Shifted.,THAR ROXX,1,"Hole and Slot Position Shifted, Wrong Child Part Fitted.",,100% Part Inspection.,N,1600,1566,34,0,0,0,N,N,Y,,2014127024.0
2024-09-28,1701AW500091N,LUMAX INDUSTRIES LIMITED,LH head lamp DRL inoperative,THAR ROXX,1,Head Lamp Found Defective.,Defect Observed On Vehicle Level,,N,0,0,2,0,0,0,N,N,Y,,2014126322.0
2024-09-27,1501BAA05331N,APTIV COMPONENTS INDIA PRIVATE LIMI,Shade variation betwwen switches on infotainment,THAR ROXX,1,Audio Defective,,ICA started by visual checking.,N,270,149,121,0,0,0,N,N,Y,,2014127051.0
2024-09-24,0103CW500080N,Jai Bhavani Mata Engitech Pvt. Ltd,Bodypost Hinge Edge Surface Poor Finish. Improper Grinding On Surface.,THAR ROXX,1,Bodypost Hinge Edge Surface Poor Finish. Improper Grinding On Surface.,,100% Part Inspection.,N,1495,1494,0,0,1,0,N,N,Y,,2014127142.0
2024-09-26,1501AAA00851N,APTIV COMPONENTS INDIA PRIVATE LIMI,Line Mark On Display.,THAR ROXX,1,Audio found defective,Defect Observed On Vehicle Level Only,,N,0,0,2,0,0,0,N,N,Y,,2014127018.0
2024-09-28,0107GW500090N,UKAY METAL INDUSTRIES,Sealer forming operation excess,THAR ROXX,1,Poor Appearence,,ICA Started By Visual Checking.,N,150,149,1,0,0,0,N,N,Y,,2014127055.0
2024-09-28,2402AW500281A,MSKH SEATING SYSTEMS INDIA (P) LTD,Wrinkles on seat,THAR ROXX,1,Wrinkles on seat,,ICA started by visually checking,N,40,39,1,0,0,0,N,N,Y,,2014126311.0
