TDATE,BOMPARTNO,VINNumber,ScanValue
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28359,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0487
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28360, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28360, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28360,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0486
2024-12-01,2301AW502180N,MA1UN2JW7R2M28361, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28361, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28361,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0569
2024-12-01,2301AW502200N,MA1UN2JW7R2M28362, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2301AW502180N,MA1UN2JW7R2M28362, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28362,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0565
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28363, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28363, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28363,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0567
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28364, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28364, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28364,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0568
2024-12-01,2402AW500281A,MA1UN2YZ7R2M28326,022:2402AW500281A:DM203B:301124:01:0000067-NSK01
